accession,date,pango
OV035715.1,2021-10-11,AY.60
OW464285.1,2021-12-30,BA.1.15.1
MW513625.1,2021-01-03,B.1.561
MZ376909.1,2021-01-11,B.1
OD905888.1,2020-11-06,B.1.160.7
OW509669.1,2021-12-30,BA.1
OD920425.1,2020-12-11,AD.2
ON285476.1,2020-11-26,B.1.160
OD939815.1,2021-01-12,B.1.1.7
OM887956.1,2022-01-31,BA.1.1
MZ499493.1,2021-02-10,B.1.429
OK147613.1,2021-05-21,P.1
OL946990.1,2021-11-04,AY.100
OD985694.1,2021-02-08,B.1.1.7
OM245425.1,2021-11-07,AY.103
MZ015105.1,2021-04-07,B.1.526
OM172192.1,2021-12-27,BA.1.15
OK384102.1,2021-08-03,AY.35
MW276211.1,2020-09-01,B.1.1.174
OK426780.1,2021-01-01,B.1.1.7
OM565719.1,2022-01-19,BA.1.1
MZ284096.1,2021-04-22,B.1.1.7
OL927912.1,2021-11-23,AY.25
ON272078.1,2021-12-02,AY.98.1
OM159819.1,2021-12-20,BA.1.15
OM642824.1,2021-12-27,BA.1.15
OM085040.1,2021-12-07,AY.44
OC995894.1,2020-11-06,B.1.177.16
MW904658.1,2021-03-16,B.1.1.7
OD920678.1,2020-12-07,B.1.36.17
OM399728.1,2022-01-13,BA.1.1
MZ779970.1,2021-03-08,B.1.1.7
MW406505.1,2020-11-12,B.1
MW905546.1,2021-03-24,B.1.1.7
OA972616.1,2020-09-02,B.1.416.1
OX072113.1,2022-01-15,BA.1.1
MZ189653.1,2021-01-26,B.1.2
OM171470.1,2021-12-24,BA.1.1
OM189284.1,2021-12-15,AY.25.3
OM684413.1,2022-01-25,BA.1.1
OU804944.1,2021-01-13,unclassifiable
OL987523.1,2021-12-13,AY.103
ON040580.1,2022-01-18,BA.1.1
ON281403.1,2021-08-04,AY.43
OM477764.1,2022-01-21,BA.1.15
OL733058.1,2021-11-11,AY.25
OU860715.1,2021-09-16,AY.4
MZ015080.1,2021-04-07,B.1.2
ON170951.1,2022-01-03,XC
OL750338.1,2021-11-16,AY.39
ON103748.1,2021-12-27,BA.1.1.18
OL732749.1,2021-11-11,AY.25.1
OW471617.1,2021-12-27,AY.4.2.1
OL926846.1,2021-11-22,AY.103
OL738128.1,2021-11-17,AY.119
MZ566389.1,2021-06-13,B.1.1.7
OM673740.1,2022-01-28,BA.1.15
OW412390.1,2021-10-18,AY.4
OM768907.1,2022-01-31,BA.1
ON487592.1,2021-08-27,AY.26
MZ280301.1,2021-05-05,P.1.10
MZ008991.1,2021-04-01,B.1.2
OM622905.1,2022-01-18,AY.119.2
OL926948.1,2021-11-22,AY.44
ON429924.1,2022-01-05,BA.1
MZ353760.1,2021-05-19,B.1.1.7
MW964658.1,2021-04-02,B.1.1.7
ON579988.1,2021-09-15,AY.99.2
OL902679.1,2021-12-03,AY.3
OD901387.1,2020-11-13,B.1.1.7
OX087398.1,2022-01-06,BA.1.17.2
OM095737.1,2021-12-04,AY.103
ON276573.1,2021-12-30,BA.1.15
MZ390575.1,2021-05-17,B.1.1.7
ON266196.1,2022-01-11,BA.1.1.1
OD946588.1,2021-01-14,B.1.1.7
OL883939.1,2021-12-02,AY.44
OD912260.1,2020-12-16,B.1.1.7
OM189597.1,2021-12-08,AY.44
MZ211102.1,2021-04-12,B.1.1.348
OD966731.1,2021-01-30,B.1.1.7
OM342105.1,2022-01-06,BA.1.1
OD925983.1,2020-11-14,B.1.1.274
OM539520.1,2022-01-10,BA.1.1
OM098424.1,2021-05-14,B.1.1.317
OL601676.1,2021-01-26,B.1.525
MZ499412.1,2021-02-23,B.1.2
OL888725.1,2021-11-20,AY.44
OW102963.1,2021-12-15,BA.1
OU396411.1,2021-02-14,unclassifiable
OU794111.1,2021-01-18,B.1.1.7
OM193126.1,2021-11-01,AY.64
OL955893.1,2021-12-11,AY.25.1
ON297906.1,2020-09-09,B.1
OL733605.1,2021-11-12,AY.25
OD950252.1,2021-01-19,B.1.1.7
OD959348.1,2021-01-22,B.1.1.7
OL806210.1,2021-11-29,AY.103
OM753620.1,2022-01-27,BA.1.1.18
MZ086503.1,2021-04-08,B.1.1.519
OL778700.1,2021-11-09,AY.100
OL922416.1,2021-11-12,AY.44
OM118605.1,2021-12-23,BA.1.1
OX086095.1,2022-01-04,BA.1
OK548576.1,2021-05-26,Q.3
OM661741.1,2022-01-21,BA.1.15
OM141982.1,2021-12-15,AY.100
OL912357.1,2021-12-10,AY.75
OM904699.1,2022-01-31,BA.1.1
OL730764.1,2021-11-05,AY.100
OM361747.1,2022-01-07,BA.1.1
MW964627.1,2021-04-02,B.1.1.7
OM647680.1,2022-01-02,BA.1.15
MZ238825.1,2021-05-04,B.1.1.7
ON204329.1,2022-01-31,BA.1.1
OL708546.1,2021-11-10,AY.44
MW496056.1,2020-11-28,B.1.2
OD928119.1,2021-01-01,B.1.1.7
OU385644.1,2021-06-23,AY.7
OL952168.1,2021-11-09,AY.119
OD937383.1,2021-01-11,B.1.1.7
OU732118.1,2021-08-24,AY.4
OM506262.1,2021-12-06,AY.103
OL920190.1,2021-11-27,AY.44
OM351926.1,2022-01-09,BA.1.1.18
OD980856.1,2021-02-01,B.1.1.7
ON445264.1,2021-12-22,AY.98.1
MZ206878.1,2020-12-22,B.1
OX082261.1,2022-01-06,BA.1
OM126481.1,2021-12-16,AY.39
OW510961.1,2021-06-29,AY.4
MZ779344.1,2021-01-13,B.1
OW092305.2,2021-12-16,unclassifiable
OM295780.1,2021-12-26,BA.1.1
OL820715.1,2021-11-12,AY.25
OU030029.1,2021-04-09,B.1.1.7
OL789818.1,2021-11-28,AY.44
OU474920.1,2021-05-10,B.1.1.7
OM354281.1,2022-01-04,BA.1.15
OM366858.1,2021-12-31,BA.1.15
OM229484.1,2021-12-20,BA.1.15
OL827576.1,2021-11-10,AY.122
OM258480.1,2021-12-26,BA.1.1
OM407753.1,2022-01-04,AY.103
OW476779.1,2021-09-07,AY.3
OV317975.1,2021-11-16,AY.98
MW864452.1,2021-03-21,B.1.2
MW276201.1,2020-09-02,B.1.240
OU029372.1,2021-01-14,B.1.177.16
MZ448885.1,2020-10-27,B.1.110.3
OM446880.1,2022-01-14,BA.1.1
OL928988.1,2021-11-12,AY.44
OA983989.1,2020-09-01,B.1.177
OD995177.1,2021-02-14,B.1.1.7
ON117704.1,2022-02-01,BA.1.1
MZ351747.1,2021-04-14,B.1.1.7
ON068951.1,2022-01-30,BA.1.1
MW850981.1,2021-03-01,B.1.427
OL714836.1,2021-11-04,AY.103
OM244226.1,2021-10-25,AY.47
OU489482.1,2021-07-21,AY.4
ON447005.1,2021-12-06,AY.43
OX068790.1,2022-02-01,BA.1.17.2
OM127086.1,2021-12-16,BA.1.15
OD937179.1,2021-01-14,B.1.1.7
ON561001.1,2022-01-20,BA.1.15
MZ009650.1,2021-03-31,B.1.1.7
OM494128.1,2021-12-22,BA.1.1
MZ337129.1,2021-05-15,B.1.1.7
OB987166.1,2020-10-21,B.1.177
OL950203.1,2021-11-07,AY.44
OL878175.1,2021-11-03,AY.39
OL735975.1,2021-11-15,AY.44
MZ317020.1,2021-05-14,B.1.1.7
OB989570.1,2020-10-23,B.1.177.33
OM687750.1,2021-11-30,AY.36
MW763942.1,2021-02-28,B.1.2
OM411826.1,2022-01-11,BA.1.1
MW804668.1,2021-03-15,B.1.1.7
MW907756.1,2021-03-12,B.1.1.7
OM871159.1,2022-02-01,BA.1.1
OU809861.1,2020-12-13,B.1.1.198
OL910152.1,2021-10-01,AY.103
OU388163.1,2021-02-24,B.1.1.7
MZ315727.1,2021-05-07,B.1.1.7
OL969995.1,2021-12-06,AY.119
OM615861.1,2022-01-19,BA.1
OV724142.1,2022-01-11,BA.1
OD922838.1,2020-12-30,B.1.1.7
OL794697.1,2021-11-29,AY.25
OL823295.1,2021-11-29,AY.100
OW110426.1,2021-12-13,AY.7
OP057204.1,2022-01-07,BA.1.15
MZ033052.1,2021-04-06,P.1.13
OM520872.1,2022-01-20,BA.1
OM543171.1,2022-01-17,BA.1.1
OL822647.1,2021-12-01,AY.43
MW666411.1,2021-02-01,B.1.2
MW864049.1,2020-12-15,B.1.2
OM564964.1,2022-01-24,BA.1.15
OM195188.1,2021-12-26,BA.1.15
MZ622367.1,2020-11-17,B.1.369
OK426674.1,2020-09-06,C.12
MZ450256.1,2021-06-05,B.1.1.7
OM561210.1,2022-01-23,BA.1.1.18
MW993399.1,2021-03-24,B.1.429
OD899562.1,2020-11-13,B.1.36.17
OW107999.2,2021-12-21,BA.1
ON339172.1,2021-12-16,BA.1.17.2
OD929624.1,2021-01-05,B.1.1.7
OL796772.1,2021-11-27,AY.43
OB992086.1,2020-10-17,B.1.160
OU862503.1,2021-09-16,AY.4
OU860598.1,2021-09-21,AY.4
OM563503.1,2022-01-21,BA.1
OL474193.1,2021-02-08,B.1.526
OA998097.1,2020-09-30,B.1.177
OX071487.1,2022-01-17,BA.2.10
OA993300.1,2020-09-27,B.1.1.309
OK511334.1,2021-06-03,B.1.1.7
OD901480.1,2020-11-14,B.1.549
MZ296413.1,2021-04-15,B.1.1.7
OM104383.1,2021-11-09,AY.25.1
OM683833.1,2022-02-01,BA.1.1
OD961721.1,2021-01-27,B.1.1.7
OL856491.1,2021-12-01,AY.25
MZ635998.1,2021-02-28,B.1.575
OM032509.1,2021-12-11,BA.1.1.18
OM773734.1,2022-01-31,BA.1.15
OD947601.1,2021-01-16,B.1.1.7
OD967059.1,2021-01-28,B.1.1.7
OM261640.1,2021-12-27,BA.1.15
ON281163.1,2021-07-29,AY.43
OM491478.1,2022-01-15,BA.1.15
OU392637.1,2021-06-06,AY.6
OM041775.1,2021-12-11,AY.103
OM419619.1,2022-01-11,BA.1.1
OM566216.1,2022-01-20,BA.1.1
OV318201.1,2021-11-12,AY.4.2.2
OU810947.1,2020-12-19,B.1.36.2
MZ252673.1,2021-05-08,Q.4
OD962133.1,2021-01-24,B.1.1.7
OM225796.1,2021-12-28,BA.1.1
OM806377.1,2022-02-01,BA.1.1
OL903600.1,2021-12-04,AY.122
MZ341859.1,2021-05-14,B.1.526
ON273507.1,2021-12-21,AY.122
OM635837.1,2021-10-20,AY.25
MZ076045.1,2021-04-02,B.1.429
OD923368.1,2020-12-25,B.1.1.7
OV004509.1,2021-10-15,AY.4
MW778984.1,2021-02-22,B.1.427
OM519936.1,2022-01-18,BA.1.1.18
OD909105.1,2020-12-09,B.1.177
OW097015.1,2021-12-01,AY.4
OU594490.1,2021-07-25,AY.4
MZ029203.1,2021-04-02,B.1.1.7
OL942738.1,2021-08-04,AY.52
OU805692.1,2020-10-10,B.1.1.279
OL835724.1,2021-11-23,AY.20
OD961979.1,2021-01-26,B.1.1.7
MZ217039.1,2021-04-26,B.1.1.7
OM116639.1,2021-12-20,BA.1.1
MW972039.1,2021-03-16,B.1.2
MZ168004.1,2021-04-13,B.1.1.7
OD929001.1,2021-01-02,B.1.1.7
OA996428.1,2020-10-06,B.1.177.4
MZ492251.1,2021-06-09,B.1.1.7
OD954121.1,2021-01-25,B.1.177
OK194398.1,2021-03-28,B.1.526
ON078487.1,2021-09-10,AY.38
OM045072.1,2021-11-04,AY.103
ON213183.1,2021-03-28,B.1.429
OM080022.1,2021-12-17,AY.118
OM585191.1,2022-01-22,BA.1
OX072685.1,2022-01-21,BA.1
MW693769.1,2021-02-10,B.1.2
MW976482.1,2021-03-15,B.1.637.1
OM150175.1,2021-12-07,AY.34
OD984316.1,2021-02-10,B.1.1.7
ON269107.1,2021-11-29,AY.43.8
OL902067.1,2021-09-20,AY.118
OM533952.1,2022-01-24,BA.1.15
OB981974.1,2020-10-17,B.1.177
ON326738.1,2021-12-23,BA.1
OM130108.1,2021-11-22,AY.3
OW404734.1,2022-01-20,BA.1.1
OM498364.1,2022-01-18,BA.1.1
OM144408.1,2021-11-02,AY.103
OM306340.1,2022-01-04,BA.1.1
OL900797.1,2021-11-15,AY.103
OD979173.1,2021-01-19,B.1.1.7
OX071226.1,2022-01-17,BA.1
MZ386400.1,2021-06-01,B.1.1.7
OM116250.1,2021-12-20,AY.103
OU423284.1,2021-07-01,AY.4
ON581655.1,2021-10-08,AY.99.2
OM260342.1,2021-12-23,BA.1.1
OD919057.1,2020-12-13,B.1.1.7
OP053437.1,2021-06-10,AY.38
OL823681.1,2021-12-02,AY.25
OL726475.1,2021-11-05,AY.44
OD978102.1,2021-01-17,B.1.1.7
OD953779.1,2021-01-20,B.1.1.7
MZ414320.1,2021-06-02,B.1.1.519
ON483953.1,2021-09-10,AY.26
MZ529986.1,2021-06-20,B.1.1.7
OW474048.1,2022-01-07,unclassifiable
MW868844.1,2021-03-14,B.1.429
OL579534.1,2021-11-02,AY.47
OB984574.1,2020-10-12,B.1.177
OM171980.1,2021-12-27,BA.1.15
OK192449.1,2021-03-24,B.1.1.7
OM644878.1,2022-01-30,BA.1.15
MW852051.1,2021-03-23,B.1.1.7
OM357202.1,2021-12-29,BA.1.15
OX084201.1,2022-01-23,BA.1.1
OM332070.1,2021-12-29,AY.3
MZ683807.1,2021-07-12,B.1.617.2
ON129423.1,2021-04-01,B.1.243
MZ083908.1,2021-04-01,B.1.1.7
OM569150.1,2022-01-19,BA.1
OW109617.1,2021-11-30,AY.4.2
OL864333.1,2021-12-01,AY.26
OL852778.1,2021-11-12,AY.44
OW413099.1,2022-01-11,BA.1.17.2
OD910929.1,2020-12-13,B.1.1.7
MW837295.1,2021-01-20,B.1.429
MW904339.1,2021-03-17,B.1.427
MZ145579.1,2021-04-27,B.1.1.7
OA982925.1,2020-09-10,AD.2
OV313984.1,2021-11-07,AY.98
OD913310.1,2020-12-21,B.1.1.7
MW990302.1,2021-04-04,P.1
OU491509.1,2021-07-25,AY.6
MW731302.1,2021-02-09,B.1.429
ON511962.1,2022-01-20,BA.1.1
OV305962.1,2021-07-14,AY.9
OB991523.1,2020-11-02,B.1.177
OM540187.1,2022-01-19,BA.1.15
OL882783.1,2021-11-30,AY.3
OD991156.1,2021-02-07,B.1.1.7
OA991608.1,2020-10-05,B.1.177
OM624994.1,2022-01-25,BA.1.20
OD955531.1,2021-01-25,B.1.1.7
MW697997.1,2021-02-10,B.1.2
OM050975.1,2021-12-15,BA.1.1
OD910896.1,2020-12-13,B.1.1.7
MZ376121.1,2021-05-28,B.1.1.7
OU475896.1,2021-06-19,AY.122
OW510096.1,2021-11-30,AY.4.2.2
MZ211864.1,2021-04-10,B.1.1.7
MZ685301.1,2021-04-29,Q.3
MW993462.1,2021-03-24,B.1.1.7
OM014024.1,2021-12-16,BA.1.15
OD916009.1,2020-12-02,B.1.258.7
OL944165.1,2021-11-18,AY.100
ON579844.1,2021-10-13,AY.26
OL952881.1,2021-12-03,AY.25
OM013088.1,2021-12-16,BA.1
OW105949.1,2021-12-01,AY.4
MZ283992.1,2021-04-27,B.1.1.7
OL696880.1,2021-10-29,AY.118
MZ354563.1,2021-05-13,B.1.1.7
MZ068832.1,2021-04-23,B.1.1.7
ON670074.1,2021-08-30,AY.39.1.1
ON134640.1,2020-10-26,B.1.567
OC998733.1,2020-11-11,B.1.177.4
MW519826.1,2021-01-03,B.1.234
OL728444.1,2021-11-18,AY.3
OM432646.1,2021-11-02,AY.3
ON485611.1,2021-08-02,AY.20
OM355218.1,2022-01-08,BA.1.17
OD928575.1,2020-12-31,B.1.1.7
OL749186.1,2021-11-16,AY.44
OD901399.1,2020-11-13,B.1.177.6
OM474519.1,2022-01-18,BA.1.1
OU819718.1,2021-08-12,AY.43
OM399374.1,2022-01-13,BA.1.1
OM159577.1,2021-12-19,BA.1.1
OD936023.1,2020-12-26,B.1.1.7
OM356848.1,2021-12-28,BA.1.17
OW509564.1,2021-12-23,BA.1
OX080164.1,2021-12-16,BA.1.15
OM350727.1,2022-01-04,BA.1.15.2
OM343593.1,2022-01-03,BA.1.17
OM410434.1,2022-01-10,BA.1.15
OM459438.1,2022-01-11,BA.1.1
OM624662.1,2022-01-24,BA.1
OM538507.1,2022-01-11,BA.1.1
ON357888.1,2022-01-28,BA.1.1
OM055723.1,2021-11-19,AY.44
OM806403.1,2022-02-01,BA.1.1
MW758717.1,2021-02-24,B.1.324
MZ490185.1,2021-03-25,B.1.427
OM524764.1,2021-11-05,AY.119
OB991034.1,2020-11-02,B.1.1.37
MZ161783.1,2021-04-30,B.1.1.7
ON483163.1,2021-10-06,AY.20
OM089630.1,2021-12-23,BA.1.1
OL369749.1,2021-04-25,B.1.1.7
MZ195079.1,2021-05-03,B.1.526
OL726532.1,2021-11-05,AY.3
OB985100.1,2020-10-07,B.1.1.307
OL920955.1,2021-11-26,AY.3
OD962962.1,2021-01-25,B.1.1.7
OU012861.1,2021-02-17,B.1.1.7
OD969621.1,2021-02-03,B.1.1.7
MZ351748.1,2021-04-18,B.1.1.7
OM270234.1,2021-12-16,AY.103
OD899810.1,2020-11-13,B.1.177.16
ON338771.1,2021-12-01,AY.20
OW098294.1,2021-12-15,AY.4
ON439856.1,2021-08-09,AY.42
OM865703.1,2022-01-26,BA.1.1.18
ON343997.1,2020-12-10,B.1.2
MZ430606.1,2021-05-12,B.1.1.7
ON102352.1,2022-01-18,BA.1.1
OB988057.1,2020-10-12,B.1.36.17
OL722282.1,2021-10-21,AY.39
OD974555.1,2021-01-30,B.1.1.7
MZ641312.1,2021-05-03,B.1.526
OL918693.1,2021-12-02,AY.103
OD903635.1,2020-11-25,B.1.1.307
OL933934.1,2021-12-08,AY.5.3
OM142044.1,2021-12-15,AY.3
OL997243.1,2021-12-09,AY.25
OD946553.1,2021-01-13,B.1.1.7
ON577725.1,2021-06-04,P.1
MW720470.1,2021-02-17,B.1.517
MZ641743.1,2021-02-17,B.1.526
OX083731.1,2022-01-04,BA.1
OL991117.1,2021-12-01,AY.117
MZ685499.1,2021-05-05,B.1.1.7
OL829650.1,2021-11-12,AY.103
MZ187148.1,2021-04-16,B.1.427
OL822836.1,2021-12-01,AY.25.1
ON215683.1,2022-01-02,BA.1.1
MW890732.1,2021-03-20,B.1.1.519
OL907756.1,2021-11-17,AY.3
MZ256883.1,2021-05-11,B.1.1.7
OM646420.1,2022-01-22,BA.1.1.18
MZ275083.1,2021-05-03,B.1.1.7
OL789560.1,2021-11-26,AY.103
OW099252.1,2021-12-30,BA.1.15
OV104013.1,2021-03-09,B.1.1.7
MZ909429.1,2021-01-13,B.1.427
OM647567.1,2022-01-24,BA.1.1
OL726270.1,2021-11-04,AY.103
OL968054.1,2021-11-29,AY.44
OW503820.1,2021-09-20,AY.4.2
OM111588.1,2021-09-20,AY.103
MZ279250.1,2021-05-03,B.1.1.7
OM387754.1,2022-01-04,BA.1.15
ON290450.1,2021-02-02,B.1.160
OM258867.1,2021-11-28,AY.20
OD938410.1,2021-01-12,B.1.1.7
OU388049.1,2021-02-02,B.1.1.7
MZ316147.1,2021-05-06,B.1.1.7
MZ210100.1,2021-04-08,B.1.2
OD925464.1,2020-11-22,B.1.1.7
OK435688.1,2021-02-16,B.1.2
OM041239.1,2021-12-07,AY.3
MZ064701.1,2021-04-11,B.1.526
MW988328.1,2021-02-25,B.1.637
OL783662.1,2021-11-24,AY.103
OU013033.1,2021-02-18,B.1.1.7
OK234253.1,2021-06-07,B.1.526
OD963182.1,2021-01-26,B.1.1.7
OM280754.1,2021-10-26,AY.103
OL876552.1,2021-11-28,AY.39
MZ684196.1,2021-04-19,B.1.429
MW840915.1,2021-03-03,B.1.1.7
OM413026.1,2022-01-12,BA.1.1
OL996340.1,2021-12-08,AY.46.4
OM006321.1,2021-12-14,AY.103
OU807027.1,2021-08-29,unclassifiable
OW509111.1,2021-12-18,unclassifiable
OM072991.1,2021-12-14,B.1.617.2
OL795306.1,2021-11-29,AY.103
OL922503.1,2021-11-12,AY.3.1
OU810059.1,2021-02-10,B.1.1.7
OL907585.1,2021-11-17,AY.103
OM424266.1,2022-01-15,BA.2
OM615175.1,2022-01-10,BA.1.1
OV724150.1,2022-01-10,AY.43.9
OM199364.1,2021-12-23,AY.39
OM351338.1,2022-01-07,BA.1.1.18
MZ143290.1,2021-04-20,B.1.1.7
OU793778.1,2021-06-27,AY.4
OM007967.1,2021-12-13,AY.103
ON484948.1,2021-08-17,AY.62
OD922301.1,2020-12-29,B.1.1.7
OD907192.1,2020-12-10,B.1.1.7
OV011435.1,2021-10-15,AY.4
MZ167568.1,2021-04-14,B.1.1.7
OD951565.1,2021-01-22,B.1.177
MZ156616.1,2021-03-28,B.1.1.7
OM647545.1,2022-01-25,BA.1.1
OW480799.1,2022-01-19,BA.1
OM087776.1,2021-12-21,BA.1.1
OM692536.1,2022-01-24,BA.1.1
MZ376144.1,2021-05-25,B.1.1.7
OB989669.1,2020-10-24,B.1.177
OU662346.1,2021-08-05,AY.4.2
OL875635.1,2021-12-06,AY.25
OL865946.1,2021-11-27,AY.100
OU813839.1,2021-05-24,AY.10
OM493378.1,2022-01-13,BA.1.1
OD972746.1,2021-01-29,B.1.1.7
OB989656.1,2020-10-27,B.1.177
OL708841.1,2021-11-12,AY.3
OL735743.1,2021-11-14,AY.3
OM121543.1,2021-12-17,AY.25.1
OL783843.1,2021-11-27,AY.44
OW102917.1,2021-05-31,AY.4
OM585219.1,2022-01-22,BA.1.1
OW504195.1,2022-01-18,BA.1.1
MW864984.1,2021-03-09,B.1.1.7
OU806758.1,2020-12-14,unclassifiable
OM121070.1,2021-12-14,AY.44
OM401002.1,2021-10-25,AY.44
MZ089869.1,2021-02-05,B.1.1.519
OM410514.1,2022-01-10,BA.1.1
OV009777.1,2021-10-13,AY.4
MW719841.1,2021-02-22,B.1.311
